gene_id	Intercept	condition_adult_pzq_vs_adult_control	condition_juvenile_control_vs_adult_control	condition_juvenile_pzq_vs_adult_control
Smp_008660	13.5480054455042	2.7859657144314	0.133131441260914	1.46350987995545
Smp_008710	10.1921983386588	-0.268846277298085	0.225212415582423	0.0869992173831518
Smp_008770	11.0292801417164	-0.353005390728876	-0.1008866868858	-0.386830132549692
Smp_008830	11.2093692423873	-0.0524549794291661	0.405571599026428	0.317697464222487
Smp_008850	6.7017308037194	-0.782713544297803	0.970838874676832	0.0839605416493053
Smp_008900	13.528838105137	0.47925137534045	0.115573861676225	0.378809452851197
Smp_009020	6.30170625148408	0.51397717143683	1.32090773538496	1.14986526610503
Smp_009030	10.9052581208428	0.129880435588688	0.00411971187546786	-0.105784476103059
Smp_009070	11.0292563197805	-0.331500204503743	0.538997415133218	0.144236110022591
Smp_009150	10.2701414265489	-0.0852105644856881	-0.0197270459453737	0.0276906860724905
Smp_009230	13.6153476051254	0.475203045394184	-0.744291803378314	-0.700621452209905
Smp_009250	11.6976029995749	0.0816284303935036	-0.367734184732501	-0.328024623893292
Smp_009310	15.0546821829589	-0.410841186482151	0.0513028587785742	-0.1102404830025
Smp_009320	11.0150290803941	-0.26882985885898	-0.490695903735534	-0.606097119643478
Smp_009340	10.0100822938957	0.056161804189357	-0.32120506825838	-0.18499108429914
Smp_009390	10.2438449310957	0.0250206392590159	-0.176673813594922	-0.186296466503487
Smp_009400	10.680686451116	0.303592044950692	0.427075201494745	0.403866199380704
Smp_009420	8.16066408288355	-0.0567457274114329	0.468821682326222	0.305055342503096
Smp_009430	10.5735018796492	-0.338329985468117	-0.805756216544445	-0.780071901531265
Smp_009520	9.56128177313206	-0.0973052603338429	0.260096952164376	0.217989509640242
Smp_009540	11.0696186585437	0.0726398027408064	0.330024468213041	0.241645662011523
Smp_009550	9.55359714561933	0.0773451892720901	-0.611038052660691	-0.356077203725175
Smp_009560	9.92945976645628	-0.0147639220508567	-0.0981986288619793	-0.046019236498645
Smp_009600	9.08870181054546	-0.724957161547161	-0.0920582820323571	-0.520720210500874
Smp_009630	4.33673307904634	-0.0601620553551054	0.399844676933392	0.834151771516222
Smp_009650	12.8421274218942	-0.459799028967671	0.283041472915214	-0.234249850569536
Smp_009690	13.9780851839927	-0.0237787537664667	0.0615052078617708	0.00624134479308555
Smp_009760	15.1880809562367	-0.127413901795157	0.17250098207476	0.1766780858606
Smp_009800	7.26148846923084	-0.185498748948743	0.0921375960924451	-0.202506932867253
Smp_009810	0.444400866253261	1.76734010062636	0.0968900180556198	0.116345565980093
Smp_009830	11.2444018124174	-0.346990712910132	-0.556506024798925	-0.388556878270604
