run_accession	sample_id	mate	filename	expected_bytes	observed_bytes	expected_md5	observed_md5	observed_sha256	gzip	status
ERR11178426	x_32d_sporocysts_r2	1	ERR11178426_1.fastq.gz	1011135235	1011135235	48249b624bb063ce52c146d35571583d	48249b624bb063ce52c146d35571583d	5ecd6e67c04abe1ccfa713d22fce2643e0dc5a8e2120c4bb66c607c4ac2a5759	PASS	PASS
ERR11178426	x_32d_sporocysts_r2	2	ERR11178426_2.fastq.gz	1120371429	1120371429	7c7196530c347ee4a698798c799483e0	7c7196530c347ee4a698798c799483e0	020cdc522f2012e1b0d4159fdaf1109b7391abb3674e2f34fdfa7506ef5ece38	PASS	PASS
ERR11178341	x_32d_sporocysts_r3	1	ERR11178341_1.fastq.gz	801378714	801378714	713a421ed2ced010e6ccda2d05a39bee	713a421ed2ced010e6ccda2d05a39bee	2189362963a9a8a26d8adfaa155cb232b69b9ccca125fc2de447b9d5747f8839	PASS	PASS
ERR11178341	x_32d_sporocysts_r3	2	ERR11178341_2.fastq.gz	847746246	847746246	6a5e530fe431a3167b01c5277fe3f21c	6a5e530fe431a3167b01c5277fe3f21c	a8423cf23ecb4331b94373e9e5b6ffaf1e1ed3b2641935a77f7cf638e118659f	PASS	PASS
ERR11178431	x_32d_sporocysts_r3	1	ERR11178431_1.fastq.gz	783570841	783570841	637e165e2241253f10342d8b764f6e03	637e165e2241253f10342d8b764f6e03	63f8242ca4eaa3729e80cbce052ce79797776ec31787c842121e3b58810bb645	PASS	PASS
ERR11178431	x_32d_sporocysts_r3	2	ERR11178431_2.fastq.gz	846223952	846223952	0056328bd7a320d1d4c91a980d6bb1c2	0056328bd7a320d1d4c91a980d6bb1c2	e3c6bddc81d77fed5c2d7c11d9ad9488ccb74b8868b088aec13e162955c91b8d	PASS	PASS
ERR11178345	x_32d_sporocysts_r4	1	ERR11178345_1.fastq.gz	816493622	816493622	777419aff3333734c86509333787559d	777419aff3333734c86509333787559d	7c1cd05f25189e5fe1876da7be036222903bf267fdbbb869f4edc2fda3ec4bc6	PASS	PASS
ERR11178345	x_32d_sporocysts_r4	2	ERR11178345_2.fastq.gz	897838886	897838886	84a5cbc13e35ae98f58c94fdaab0c8da	84a5cbc13e35ae98f58c94fdaab0c8da	18357693bdbac00c06ebdb11ad49da404507d9be9f236b3058b688429dc0796c	PASS	PASS
ERR11178435	x_32d_sporocysts_r4	1	ERR11178435_1.fastq.gz	802014550	802014550	a6ecf9015bff3f9afeaf3567f5781236	a6ecf9015bff3f9afeaf3567f5781236	5655370dcfeb99f09f20b3abb8b9c7873df0f0d1df9f7a78e298576dda7fc9bb	PASS	PASS
ERR11178435	x_32d_sporocysts_r4	2	ERR11178435_2.fastq.gz	885601876	885601876	ae369c157eb6d695b7f8a8333dcd80be	ae369c157eb6d695b7f8a8333dcd80be	0b06fcf46456d588e3b9ce3b6573335dc24bc0a315b8e6f7c1a73b1cda7e7a7e	PASS	PASS
