	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000310	3068.08985117511	3199.20339420476	3041.64283548343	3039.09726787548	3030.99659715367	2994.8654900657	2983.72264638206	2998.43867571517	3005.74355720038	3398.67584927924	1240.62666297403	1252.79477110122	1304.80844308831	1407.56796928523	1344.34428113716	1491.52597145323	1772.53983316733	1649.05372767586	1606.38714099612	1471.3471545591
Smp_000320	2119.22599745418	2036.45390596196	2039.49956083886	2032.85070836839	2009.50050640022	1290.63254896342	1269.6117774563	1151.82142174044	767.555436734391	921.175756178409	2467.46858524835	2397.60899025176	2417.79704030733	2025.82622812208	2044.68548540008	2087.52087476433	2294.33124655596	2001.63088386801	1889.74466521852	2098.39056911169
Smp_000340	336.600021503449	365.998628260445	373.067581824	348.01783705496	318.170913513369	411.607137236983	395.010326224886	450.204312050831	504.343100546994	498.023787815176	133.60594832028	154.257931358109	146.303272273191	110.256056159238	118.50433692105	134.380950660505	128.509137904631	149.089768904109	129.177694866095	138.745455364125
Smp_000370	2182.09669112581	2295.46831980781	2090.89152364115	2389.59322657514	2350.69694654943	2363.00368617164	2555.41987808355	2519.00031742727	2637.42293911265	2382.43812008882	1679.61763602638	1558.00510671691	1500.96320072867	1572.43683830839	1480.33286448918	1725.41037412953	1690.55986588334	1815.26867273787	1813.69650614413	1706.89176482842
Smp_000390	6091.68659605954	9255.07300488334	8860.35506832001	8638.40374929455	9892.60353463277	2750.69176458613	2564.41783540074	2904.88972775655	3204.4777036506	4049.80830159165	50.8975041220116	6.61105420106183	3.25118382829314	39.1563563930004	4.85673511971516	2.05161756733595	18.8332357274029	2.01472660681229	9.3758004338295	52.7017621150553
Smp_000420	16102.6355114638	22879.6065563837	23424.2663046789	20290.7001320261	22318.0149992075	5780.43921543463	5397.87459458563	5390.75812611515	6537.91178677556	7499.80079116942	325.531953447032	45.1755370405892	47.6840294816327	140.138538669686	58.2808214365819	23.5936020243634	26.58809749751	15.1104495510921	33.3361793202827	158.105286345166
Smp_000430	33381.4366153075	49735.4597485097	52673.9067632983	44992.2112907933	52835.2107104667	11680.4737249817	10513.2133294113	9758.32463393295	13246.2933080618	15183.8367335745	330.833776793075	38.5644828395274	39.0142059395177	170.021021180133	55.3667803647528	33.8516898610431	56.4997071822087	12.0883596408737	27.0856456977297	172.08738649814
Smp_000470	1742.00183542446	1837.50080547167	1682.61093026743	1688.71050738089	1626.43947236768	1593.60729404827	1625.93088721724	1724.80872798695	1718.82955107609	1722.89310379304	1769.74863290911	1793.79937322144	1821.74667178692	2038.19139329881	1882.4705324016	1798.24279776996	1804.66711764349	1893.84301040355	1833.48986261555	1953.19183675389
Smp_000480	4897.14341629874	5198.11897931949	4960.27611343543	4943.98598601753	5043.63694809515	4335.32941157597	4347.81297566891	4508.86439796363	4318.27218664492	4340.88301541606	4653.94053315643	4595.78451210482	4636.18813914602	4942.97477940061	5068.48877093474	4711.539743387	4482.31010312189	4483.77406346074	4329.53628922171	4685.07909741186
Smp_000500	21.279311704241	26.2768245930576	32.3579025051429	41.6845877252459	43.9578235775049	29.8988235281102	20.6953018295498	22.4127687817513	24.731360447138	27.7614611451027	13.7847406997115	4.40736946737456	10.8372794276438	12.365165176737	6.79942916760123	7.18066148567581	7.75486177010707	7.051543123843	3.1252668112765	13.9821001529739
