gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_001950	96.347854	91.296784	92.221005	86.498002	79.152496	80.155492	74.790457	70.809994	75.88177	70.663128	51.359429	55.18093	70.215761	90.533566	77.670431	67.308233	93.228228	62.459353	50.457299	55.391424
Smp_001960	25.113723	25.055308	24.801151	25.499867	24.987636	25.892699	28.765093	29.177714	29.674433	29.512025	26.628332	27.328361	27.675767	31.254145	32.080792	30.180886	30.757276	29.529667	29.115342	28.716666
Smp_001980	0.71353	0.492077	0.937684	0.715963	0.651751	1.055854	0.646494	1.033372	0.975573	0.564922	1.374308	1.034182	1.296922	1.587608	1.474474	0.792484	1.389359	0.772728	0.790139	0.918678
Smp_002010	41.239466	48.802503	44.340996	49.467708	49.248686	45.446747	47.354906	48.797083	49.467692	48.312872	43.444968	44.320892	43.733453	48.181251	51.695882	45.377691	41.286394	39.56863	45.610364	44.027929
Smp_002060	1.372737	1.271454	1.069197	0.897248	2.174913	1.693942	2.346381	1.243315	2.455254	1.298726	1.207734	2.01831	2.501031	0.349817	0.548903	1.180186	1.713204	0.709028	1.412263	0.241131
Smp_002070	0.262586	0.243248	0.127794	0.128715	0.271294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_002080	163.17077	172.306643	157.851161	164.368545	161.219877	281.825212	290.776634	311.625391	347.037195	331.864732	156.731224	150.619079	148.982319	173.923004	170.086335	191.858227	188.196771	220.303373	233.652896	193.795684
Smp_002100	428.004342	397.063245	387.5365	366.750639	360.943529	190.894262	169.293042	171.970668	121.407802	147.145107	243.51327	250.382703	246.792359	254.455461	231.68189	247.166242	257.924908	217.849299	201.314158	200.131282
Smp_002160	14.258066	14.607338	15.042865	15.609908	15.032954	19.251395	21.898069	20.143283	21.545925	20.647253	20.098403	21.364279	20.708304	19.095937	20.401284	21.610904	21.846094	21.443142	22.39634	20.357978
Smp_002180	422.238821	427.105259	408.441438	406.163967	419.839287	417.202229	413.705761	430.201238	442.048422	444.907482	370.756668	362.746006	377.828799	399.760208	401.709524	404.358008	365.989255	406.541762	408.129217	397.484445
Smp_002230	20.075831	19.680809	20.316104	20.213561	18.960999	27.601809	26.72321	29.410027	29.872315	29.87222	28.871963	30.664135	31.066118	24.165749	27.516137	31.760958	30.953166	33.27857	32.794842	29.551519
Smp_002280	63.313161	55.712249	58.689506	60.571117	56.273091	76.886128	77.56886	85.290499	75.510783	77.690912	69.183015	71.184815	72.552132	79.4669	80.884655	89.145997	89.281528	90.033641	86.533014	82.476329
Smp_002380	149.381802	138.221131	141.467322	133.307807	130.48689	135.771964	136.091277	143.662733	127.612144	127.29477	100.963035	100.109065	102.985433	113.945907	113.535093	123.920086	121.413869	124.065813	119.683759	113.5811
